#REPLACE,0,0,0,0,0,0,0,0,LOS in tiles/10 (so 50 means 5 tiles),LOS to infantry in cover/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sound effect played on an impact,0,0,0,Total men in unit,Relative size of unit - minimum size of normal units is 200. Light Foot and Light Horse units should not exceed 300. Dragoons should not exceed 400 but are normally 300. Commanded Shot should not exceed 300 but are normally 200.,"0 = Unarm, 100=Arm, 200 = Heav Arm, 300 - Fully Arm. Adjust to proportions in unit",,,Whether these should be kept in reserve at the back of the deployment,Combat Capabilities (% of unit that has them),,,,,,,,,,,,,,,,,,,Defined here only so that they are available before INIT_UnitData() is called. Values from Squads.csv will not necessarily  be used - should be set at zero,,,,,,,,,,
Name,ID,Madeby,SoundBank,Type,IconID,ManCount,IconSIze,IconHeight,LOS,CoverLOS,Cost,DeathAngle,ViewFlags,AP,Speed,MoveCost,FireDirectionOffset,AssetFilename,Morale,Transport,CanBeCarried,Blocking,ScoutRange,HE_TileDamage,SFXImpact,Shots,AmbushSkill,TurnRate,TotalMen,UnitSize,BodyArmour,Experience,Elan,Reserve,Light_Artillery,Heavy_Artillery,Handgun,Bombs,Bow,Longbow,Crossbow,Sling,Javelins,Darts,Heavy_Lancers,Light_Lancers,Impact_Foot,Pike,Heavy_Weapon,Offensive_Spearmen,Defensive_Spearmen,Light_Spear,Swordsmen,MoraleState,Attacking,SeasonalMultiplier,Startdate,Endate,General,UnitScaling,ShaderValue,BannerHeight,3DViewZoom,3DViewHeight
Pike,0,Allies,2,Heavy_Foot,Pikes,16,60,25,200,20,72,0,1,10,600,1,0,Pike,100,0,0,0,1,0,-1,1,0,200,960,1200,50,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,,,-1,0,3,-100,18.2,620
Pike_Vet,1,Allies,2,Heavy_Foot,Pikes,16,60,25,200,20,96,0,1,10,600,1,0,Pike_Vet,100,0,0,0,1,0,-1,1,0,200,960,1200,50,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,,,-1,0,3,-100,18,620
Pike_Raw,2,Allies,2,Heavy_Foot,Pikes,16,60,25,200,20,48,0,1,10,600,1,0,pike_raw,100,0,0,0,1,0,-1,1,0,200,960,1200,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,,,-1,0,3,-100,17.8,620
Thureophoroi,3,Allies,2,Medium_Foot,Pikes,8,60,25,200,20,42,0,1,10,600,1,0,Thureophoroi,100,0,0,0,1,0,-1,1,0,200,480,600,50,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Thureophoroi_Raw,4,Allies,2,Medium_Foot,Pikes,8,60,25,200,20,30,0,1,10,600,1,0,Thureophoroi_Raw,100,0,0,0,1,0,-1,1,0,200,480,600,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Light_Archers,5,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,30,0,1,12,600,1,0,light_archers,100,0,0,0,0,0,-1,1,0,200,240,300,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Cretan_Archers,6,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,42,0,1,12,600,1,0,cretan_archers,100,0,0,0,0,0,-1,1,0,200,240,300,0,200,200,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Light_Slingers,7,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,24,0,1,12,600,1,0,slingers_light,100,0,0,0,0,0,-1,1,0,200,240,300,0,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Balearic_Slingers,8,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,36,0,1,12,600,1,0,slingers_balearic,100,0,0,0,0,0,-1,1,0,200,240,300,0,200,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Levy_Psiloi,9,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,20,0,1,12,600,1,0,levy_psiloi,100,0,0,0,0,0,-1,1,0,200,240,300,0,50,50,0,0,0,0,0,34,0,0,33,33,0,0,0,0,0,0,0,0,33,0,0,0,100,,,-1,2600,3,-100,4.5,275
Light_Javelins,10,Allies,2,Light_Foot,ArchersTurkish,4,60,25,200,20,24,0,1,12,600,1,0,light_javelins,100,0,0,0,0,0,-1,1,0,200,240,300,0,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,100,,,-1,2600,3,-100,4.5,275
Xystophoroi,11,Allies,2,Cavalry,NonLightLancers,4,60,25,200,20,64,0,2,16,900,1,0,xystophoroi,100,0,0,0,1,0,-1,1,0,200,240,400,100,200,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,,,-1,0,1,-100,21,800
Cataphracts,12,Allies,2,Cataphracts,Gendarmes,4,60,25,200,20,72,0,2,12,900,1,0,Cataphract,100,0,0,0,1,0,-1,1,0,200,240,400,300,200,200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,100,,,-1,0,1,-100,21,800
Thorakitai,13,Allies,2,Medium_Foot,Pikes,8,60,25,200,20,54,0,1,10,600,1,0,Thorakitai,100,0,0,0,1,0,-1,1,0,200,480,600,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,,-1,2600,3,-100,4.5,275
Nomad_LH,14,Allies,2,Light_Horse,HorseArchers,2,60,25,200,20,40,0,2,20,1100,1,0,nomad_LH,100,0,0,0,1,0,-1,1,0,200,120,200,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,,,-1,0,1,-100,21,800
LH_Bow,15,Allies,2,Light_Horse,HorseArchers,2,60,25,200,20,32,0,2,20,1100,1,0,LH_bow,100,0,0,0,1,0,-1,1,0,200,120,200,0,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,-1,0,1,-100,21,800
